"id","title","normalized_title","type","subtype","grade","is_event","is_personal","description","raw_response"
"607","📙 Последний шанс IV","последний шанс iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Последний шанс IV

","📋 Страница ресурса

📙 Последний шанс IV
Требуется для изучения навыка Последний шанс IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"608","📙 Последний шанс V","последний шанс v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Последний шанс V

","📋 Страница ресурса

📙 Последний шанс V
Требуется для изучения навыка Последний шанс V

Дроп c монстров:
⚫️ Темная аномалия🔸35 ⛩ Оплот веры"
"609","📙 Последний шанс VI","последний шанс vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Последний шанс VI","📋 Страница ресурса

📙 Последний шанс VI
Требуется для изучения навыка Последний шанс VI"
"610","📙 Последний шанс VII","последний шанс vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Последний шанс VII","📋 Страница ресурса

📙 Последний шанс VII
Требуется для изучения навыка Последний шанс VII"
"611","📙 Последний шанс VIII","последний шанс viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Последний шанс VIII","📋 Страница ресурса

📙 Последний шанс VIII
Требуется для изучения навыка Последний шанс VIII"
"612","📙 Последний шанс IX","последний шанс ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Последний шанс IX","📋 Страница ресурса

📙 Последний шанс IX
Требуется для изучения навыка Последний шанс IX"
"613","📙 Последний шанс X","последний шанс x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Последний шанс X","📋 Страница ресурса

📙 Последний шанс X
Требуется для изучения навыка Последний шанс X"
"614","📘 Вампиризм III","вампиризм iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм III

","📋 Страница ресурса

📘 Вампиризм III
Требуется для изучения навыка Вампиризм III

Дроп c монстров:
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район"
"615","📘 Вампиризм IV","вампиризм iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм IV

","📋 Страница ресурса

📘 Вампиризм IV
Требуется для изучения навыка Вампиризм IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"616","📘 Вампиризм V","вампиризм v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм V

","📋 Страница ресурса

📘 Вампиризм V
Требуется для изучения навыка Вампиризм V

Дроп c монстров:
⚫️ Темная аномалия🔸35 ⛩ Оплот веры"
"617","📘 Вампиризм VI","вампиризм vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм VI","📋 Страница ресурса

📘 Вампиризм VI
Требуется для изучения навыка Вампиризм VI"
"618","📘 Вампиризм VII","вампиризм vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм VII","📋 Страница ресурса

📘 Вампиризм VII
Требуется для изучения навыка Вампиризм VII"
"619","📘 Вампиризм VIII","вампиризм viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм VIII","📋 Страница ресурса

📘 Вампиризм VIII
Требуется для изучения навыка Вампиризм VIII"
"620","📘 Вампиризм IX","вампиризм ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм IX","📋 Страница ресурса

📘 Вампиризм IX
Требуется для изучения навыка Вампиризм IX"
"621","📘 Вампиризм X","вампиризм x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Вампиризм X","📋 Страница ресурса

📘 Вампиризм X
Требуется для изучения навыка Вампиризм X"
"622","📒 Воодушевление I","воодушевление i","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление I","📋 Страница ресурса

📒 Воодушевление I
Требуется для изучения навыка Воодушевление I"
"623","📘 Ярость II","ярость ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость II

","📋 Страница ресурса

📘 Ярость II
Требуется для изучения навыка Ярость II

Дроп c монстров:
💧👤 Дух озера🔸33 ♾ Озеро пустоты"
"624","📘 Ярость III","ярость iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость III

","📋 Страница ресурса

📘 Ярость III
Требуется для изучения навыка Ярость III

Дроп c монстров:
🐍 Древняя змея🔸35 🍙 Тоннели"
"625","📘 Ярость IV","ярость iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость IV

","📋 Страница ресурса

📘 Ярость IV
Требуется для изучения навыка Ярость IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"626","📘 Ярость V","ярость v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость V

","📋 Страница ресурса

📘 Ярость V
Требуется для изучения навыка Ярость V

Дроп c монстров:
⚫️ Темная аномалия🔸35 ⛩ Оплот веры"
"627","📘 Ярость VI","ярость vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость VI","📋 Страница ресурса

📘 Ярость VI
Требуется для изучения навыка Ярость VI"
"628","📘 Ярость VII","ярость vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость VII","📋 Страница ресурса

📘 Ярость VII
Требуется для изучения навыка Ярость VII"
"629","📘 Ярость VIII","ярость viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость VIII","📋 Страница ресурса

📘 Ярость VIII
Требуется для изучения навыка Ярость VIII"
"630","📘 Ярость IX","ярость ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость IX","📋 Страница ресурса

📘 Ярость IX
Требуется для изучения навыка Ярость IX"
"631","📘 Ярость X","ярость x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Ярость X","📋 Страница ресурса

📘 Ярость X
Требуется для изучения навыка Ярость X"
"632","📗 Казнь IV","казнь iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь IV

","📋 Страница ресурса

📗 Казнь IV
Требуется для изучения навыка Казнь IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"633","📗 Казнь V","казнь v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь V

","📋 Страница ресурса

📗 Казнь V
Требуется для изучения навыка Казнь V

Дроп c монстров:
⭕️ Аномалия🔸34 🔒 Укрепление"
"634","📗 Казнь VI","казнь vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь VI","📋 Страница ресурса

📗 Казнь VI
Требуется для изучения навыка Казнь VI"
"635","📗 Казнь VII","казнь vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь VII","📋 Страница ресурса

📗 Казнь VII
Требуется для изучения навыка Казнь VII"
"636","📗 Казнь II","казнь ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь II

","📋 Страница ресурса

📗 Казнь II
Требуется для изучения навыка Казнь II

Дроп c монстров:
💧👤 Дух озера🔸33 ♾ Озеро пустоты"
"637","📗 Смертельный яд II","смертельный яд ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд II

","📋 Страница ресурса

📗 Смертельный яд II
Требуется для изучения навыка Смертельный яд II

Дроп c монстров:
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов"
"638","📗 Смертельный яд X","смертельный яд x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд X","📋 Страница ресурса

📗 Смертельный яд X
Требуется для изучения навыка Смертельный яд X"
"639","📗 Смертельный яд IX","смертельный яд ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд IX","📋 Страница ресурса

📗 Смертельный яд IX
Требуется для изучения навыка Смертельный яд IX"
"640","📗 Смертельный яд VIII","смертельный яд viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд VIII","📋 Страница ресурса

📗 Смертельный яд VIII
Требуется для изучения навыка Смертельный яд VIII"
"641","📗 Смертельный яд VII","смертельный яд vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд VII","📋 Страница ресурса

📗 Смертельный яд VII
Требуется для изучения навыка Смертельный яд VII"
"642","📗 Смертельный яд VI","смертельный яд vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд VI","📋 Страница ресурса

📗 Смертельный яд VI
Требуется для изучения навыка Смертельный яд VI"
"643","📗 Смертельный яд V","смертельный яд v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд V

","📋 Страница ресурса

📗 Смертельный яд V
Требуется для изучения навыка Смертельный яд V

Дроп c монстров:
⭕️ Аномалия🔸34 🔒 Укрепление"
"644","📗 Смертельный яд IV","смертельный яд iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд IV

","📋 Страница ресурса

📗 Смертельный яд IV
Требуется для изучения навыка Смертельный яд IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"645","📗 Смертельный яд III","смертельный яд iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Смертельный яд III

","📋 Страница ресурса

📗 Смертельный яд III
Требуется для изучения навыка Смертельный яд III

Дроп c монстров:
🐍 Древняя змея🔸35 🍙 Тоннели"
"646","📗 Казнь III","казнь iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь III

","📋 Страница ресурса

📗 Казнь III
Требуется для изучения навыка Казнь III

Дроп c монстров:
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район"
"647","📗 Казнь VIII","казнь viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь VIII","📋 Страница ресурса

📗 Казнь VIII
Требуется для изучения навыка Казнь VIII"
"648","📗 Казнь IX","казнь ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь IX","📋 Страница ресурса

📗 Казнь IX
Требуется для изучения навыка Казнь IX"
"649","📗 Казнь X","казнь x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Казнь X","📋 Страница ресурса

📗 Казнь X
Требуется для изучения навыка Казнь X"
"650","📔 Скорость II","скорость ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость II

","📋 Страница ресурса

📔 Скорость II
Требуется для изучения навыка Скорость II

Дроп c монстров:
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов"
"651","📔 Скорость III","скорость iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость III

","📋 Страница ресурса

📔 Скорость III
Требуется для изучения навыка Скорость III

Дроп c монстров:
🐍 Древняя змея🔸35 🍙 Тоннели"
"652","📔 Скорость IV","скорость iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость IV

","📋 Страница ресурса

📔 Скорость IV
Требуется для изучения навыка Скорость IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"653","📔 Скорость V","скорость v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость V

","📋 Страница ресурса

📔 Скорость V
Требуется для изучения навыка Скорость V

Дроп c монстров:
⭕️ Аномалия🔸34 🔒 Укрепление"
"654","📔 Скорость VI","скорость vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость VI","📋 Страница ресурса

📔 Скорость VI
Требуется для изучения навыка Скорость VI"
"655","📔 Скорость VII","скорость vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость VII","📋 Страница ресурса

📔 Скорость VII
Требуется для изучения навыка Скорость VII"
"656","📔 Скорость VIII","скорость viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость VIII","📋 Страница ресурса

📔 Скорость VIII
Требуется для изучения навыка Скорость VIII"
"657","📔 Скорость IX","скорость ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость IX","📋 Страница ресурса

📔 Скорость IX
Требуется для изучения навыка Скорость IX"
"658","📔 Скорость X","скорость x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Скорость X","📋 Страница ресурса

📔 Скорость X
Требуется для изучения навыка Скорость X"
"659","📔 Выстрел в горло II","выстрел в горло ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло II

","📋 Страница ресурса

📔 Выстрел в горло II
Требуется для изучения навыка Выстрел в горло II

Дроп c монстров:
💧👤 Дух озера🔸33 ♾ Озеро пустоты"
"660","📔 Выстрел в горло III","выстрел в горло iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло III

","📋 Страница ресурса

📔 Выстрел в горло III
Требуется для изучения навыка Выстрел в горло III

Дроп c монстров:
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район"
"661","📔 Выстрел в горло IV","выстрел в горло iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло IV

","📋 Страница ресурса

📔 Выстрел в горло IV
Требуется для изучения навыка Выстрел в горло IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"662","📔 Выстрел в горло V","выстрел в горло v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло V

","📋 Страница ресурса

📔 Выстрел в горло V
Требуется для изучения навыка Выстрел в горло V

Дроп c монстров:
⭕️ Аномалия🔸34 🔒 Укрепление"
"663","📔 Выстрел в горло VI","выстрел в горло vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло VI","📋 Страница ресурса

📔 Выстрел в горло VI
Требуется для изучения навыка Выстрел в горло VI"
"664","📔 Выстрел в горло VII","выстрел в горло vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло VII","📋 Страница ресурса

📔 Выстрел в горло VII
Требуется для изучения навыка Выстрел в горло VII"
"665","📔 Выстрел в горло VIII","выстрел в горло viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло VIII","📋 Страница ресурса

📔 Выстрел в горло VIII
Требуется для изучения навыка Выстрел в горло VIII"
"666","📔 Выстрел в горло IX","выстрел в горло ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло IX","📋 Страница ресурса

📔 Выстрел в горло IX
Требуется для изучения навыка Выстрел в горло IX"
"667","📔 Выстрел в горло X","выстрел в горло x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Выстрел в горло X","📋 Страница ресурса

📔 Выстрел в горло X
Требуется для изучения навыка Выстрел в горло X"
"668","📕 Божественная милость II","божественная милость ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость II

","📋 Страница ресурса

📕 Божественная милость II
Требуется для изучения навыка Божественная милость II

Дроп c монстров:
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов"
"669","📕 Божественная милость III","божественная милость iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость III

","📋 Страница ресурса

📕 Божественная милость III
Требуется для изучения навыка Божественная милость III

Дроп c монстров:
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район"
"670","📕 Божественная милость IV","божественная милость iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость IV

","📋 Страница ресурса

📕 Божественная милость IV
Требуется для изучения навыка Божественная милость IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"671","📕 Божественная милость V","божественная милость v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость V

","📋 Страница ресурса

📕 Божественная милость V
Требуется для изучения навыка Божественная милость V

Дроп c монстров:
⚫️ Темная аномалия🔸35 ⛩ Оплот веры"
"672","📕 Божественная милость VI","божественная милость vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость VI","📋 Страница ресурса

📕 Божественная милость VI
Требуется для изучения навыка Божественная милость VI"
"673","📕 Божественная милость VII","божественная милость vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость VII","📋 Страница ресурса

📕 Божественная милость VII
Требуется для изучения навыка Божественная милость VII"
"674","📕 Божественная милость VIII","божественная милость viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость VIII","📋 Страница ресурса

📕 Божественная милость VIII
Требуется для изучения навыка Божественная милость VIII"
"675","📕 Божественная милость IX","божественная милость ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость IX","📋 Страница ресурса

📕 Божественная милость IX
Требуется для изучения навыка Божественная милость IX"
"676","📕 Божественная милость X","божественная милость x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Божественная милость X","📋 Страница ресурса

📕 Божественная милость X
Требуется для изучения навыка Божественная милость X"
"677","📕 Критическое исцеление I","критическое исцеление i","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление I","📋 Страница ресурса

📕 Критическое исцеление I
Требуется для изучения навыка Критическое исцеление I"
"678","📕 Критическое исцеление II","критическое исцеление ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление II

","📋 Страница ресурса

📕 Критическое исцеление II
Требуется для изучения навыка Критическое исцеление II

Дроп c монстров:
💧👤 Дух озера🔸33 ♾ Озеро пустоты"
"679","📕 Критическое исцеление III","критическое исцеление iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление III

","📋 Страница ресурса

📕 Критическое исцеление III
Требуется для изучения навыка Критическое исцеление III

Дроп c монстров:
🐍 Древняя змея🔸35 🍙 Тоннели"
"680","📕 Критическое исцеление IV","критическое исцеление iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление IV

","📋 Страница ресурса

📕 Критическое исцеление IV
Требуется для изучения навыка Критическое исцеление IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"681","📕 Критическое исцеление V","критическое исцеление v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление V

","📋 Страница ресурса

📕 Критическое исцеление V
Требуется для изучения навыка Критическое исцеление V

Дроп c монстров:
⚫️ Темная аномалия🔸35 ⛩ Оплот веры"
"682","📕 Критическое исцеление VI","критическое исцеление vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление VI","📋 Страница ресурса

📕 Критическое исцеление VI
Требуется для изучения навыка Критическое исцеление VI"
"683","📕 Критическое исцеление VII","критическое исцеление vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление VII","📋 Страница ресурса

📕 Критическое исцеление VII
Требуется для изучения навыка Критическое исцеление VII"
"684","📕 Критическое исцеление VIII","критическое исцеление viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление VIII","📋 Страница ресурса

📕 Критическое исцеление VIII
Требуется для изучения навыка Критическое исцеление VIII"
"685","📕 Критическое исцеление IX","критическое исцеление ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление IX","📋 Страница ресурса

📕 Критическое исцеление IX
Требуется для изучения навыка Критическое исцеление IX"
"686","📕 Критическое исцеление X","критическое исцеление x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Критическое исцеление X","📋 Страница ресурса

📕 Критическое исцеление X
Требуется для изучения навыка Критическое исцеление X"
"687","📒 Воодушевление II","воодушевление ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление II

","📋 Страница ресурса

📒 Воодушевление II
Требуется для изучения навыка Воодушевление II

Дроп c монстров:
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов"
"688","📒 Воодушевление III","воодушевление iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление III

","📋 Страница ресурса

📒 Воодушевление III
Требуется для изучения навыка Воодушевление III

Дроп c монстров:
🐍 Древняя змея🔸35 🍙 Тоннели"
"689","📒 Воодушевление IV","воодушевление iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление IV

","📋 Страница ресурса

📒 Воодушевление IV
Требуется для изучения навыка Воодушевление IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"690","📒 Воодушевление V","воодушевление v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление V

","📋 Страница ресурса

📒 Воодушевление V
Требуется для изучения навыка Воодушевление V

Дроп c монстров:
⭕️ Аномалия🔸34 🔒 Укрепление"
"691","📒 Воодушевление VI","воодушевление vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление VI","📋 Страница ресурса

📒 Воодушевление VI
Требуется для изучения навыка Воодушевление VI"
"692","📒 Воодушевление VII","воодушевление vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление VII","📋 Страница ресурса

📒 Воодушевление VII
Требуется для изучения навыка Воодушевление VII"
"693","📒 Воодушевление IX","воодушевление ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление IX","📋 Страница ресурса

📒 Воодушевление IX
Требуется для изучения навыка Воодушевление IX"
"694","📒 Воодушевление X","воодушевление x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление X","📋 Страница ресурса

📒 Воодушевление X
Требуется для изучения навыка Воодушевление X"
"695","📒 Воодушевление VIII","воодушевление viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Воодушевление VIII","📋 Страница ресурса

📒 Воодушевление VIII
Требуется для изучения навыка Воодушевление VIII"
"696","📒 Провидение II","провидение ii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение II

","📋 Страница ресурса

📒 Провидение II
Требуется для изучения навыка Провидение II

Дроп c монстров:
💧👤 Дух озера🔸33 ♾ Озеро пустоты"
"697","📒 Провидение III","провидение iii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение III

","📋 Страница ресурса

📒 Провидение III
Требуется для изучения навыка Провидение III

Дроп c монстров:
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район"
"698","📒 Провидение IV","провидение iv","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение IV

","📋 Страница ресурса

📒 Провидение IV
Требуется для изучения навыка Провидение IV

Дроп c монстров:
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления"
"699","📒 Провидение V","провидение v","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение V

","📋 Страница ресурса

📒 Провидение V
Требуется для изучения навыка Провидение V

Дроп c монстров:
⭕️ Аномалия🔸34 🔒 Укрепление"
"700","📒 Провидение VI","провидение vi","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение VI","📋 Страница ресурса

📒 Провидение VI
Требуется для изучения навыка Провидение VI"
"701","📒 Провидение VII","провидение vii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение VII","📋 Страница ресурса

📒 Провидение VII
Требуется для изучения навыка Провидение VII"
"702","📒 Провидение VIII","провидение viii","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение VIII","📋 Страница ресурса

📒 Провидение VIII
Требуется для изучения навыка Провидение VIII"
"703","📒 Провидение IX","провидение ix","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение IX","📋 Страница ресурса

📒 Провидение IX
Требуется для изучения навыка Провидение IX"
"704","📒 Провидение X","провидение x","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Провидение X","📋 Страница ресурса

📒 Провидение X
Требуется для изучения навыка Провидение X"
"705","📙 Умение носить щит I","умение носить щит i","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Умение носить щит I","📋 Страница ресурса

📙 Умение носить щит I
Требуется для изучения навыка Умение носить щит I"
"706","📕 Умение носить щит I","умение носить щит i","книга","пассивный",NULL,"0","0","Требуется для изучения навыка Умение носить щит I","📋 Страница ресурса

📕 Умение носить щит I
Требуется для изучения навыка Умение носить щит I"
"707","👝 Случайный камень хаоса","случайный камень хаоса","материал",NULL,NULL,"0","1","Мешок, содержащий случайный камень. Для использования: /use_gem_random

","📋 Страница ресурса

👝 Случайный камень хаоса
Мешок, содержащий случайный камень. 
* Предмет нельзя передать
Для использования: /use_gem_random

Дроп c монстров:
🦏 Rhino🔸22 🌿 Заросли
🦖 T.Rex🔸22 💦 Сквозь водопад
🗿Каменный страж🔸26 🏰Зал храма
🌪Дух Вьюги🔸27 🏰Зал Вьюги
🐺Воплощение Пурги🌨🔸28 🏰Зал Пурги
💨Дух Метели🔸29 🏰Зал Метели
💀 Маржана, воплощение зимы🔸30 🏰Зал Маржаны
☀️🦀 Песочный краб🔸30 🛕 Башня исследований
🕸🧟‍♂️ Древний зомби🔸31 🚧 🏺 Забытое хранилище
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов
💧👤 Дух озера🔸33 ♾ Озеро пустоты
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления
🩸🐅 Зараженный тигр🔸34 🏚 Заброшенный район
🐍 Древняя змея🔸35 🍙 Тоннели
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район"
"708","👝 Камень хаоса","камень хаоса","материал",NULL,NULL,"0","1","Мешок, содержащий камень хаоса. Можно выбрать 1 из предложенных камней:
- Камень атаки: /use_gem_attack
- Камень защиты: /use_gem_def
- Камень здоровья: /use_gem_hp
","📋 Страница ресурса

👝 Камень хаоса
Мешок, содержащий камень хаоса. Можно выбрать 1 из предложенных камней:
- Камень атаки: /use_gem_attack
- Камень защиты: /use_gem_def
- Камень здоровья: /use_gem_hp
* Предмет нельзя передать

Дроп c монстров:
🦏 Rhino🔸22 🌿 Заросли
🦖 T.Rex🔸22 💦 Сквозь водопад
🗿Каменный страж🔸26 🏰Зал храма
🌪Дух Вьюги🔸27 🏰Зал Вьюги
🐺Воплощение Пурги🌨🔸28 🏰Зал Пурги
💨Дух Метели🔸29 🏰Зал Метели
💀 Маржана, воплощение зимы🔸30 🏰Зал Маржаны
☀️🦀 Песочный краб🔸30 🛕 Башня исследований
🕸🧟‍♂️ Древний зомби🔸31 🚧 🏺 Забытое хранилище
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов
👺 Оракул🔸33 🔥Очаг сопротивления[IV]
👹 Оракул🔸33 🔥Очаг сопротивления[IV]
👾 Оракул🔸33 🔥Очаг сопротивления[IV]
🧞‍♂️ Джин грехов🔸33 🌌 Пещера грёз
🩸🐅 Зараженный тигр🔸34 🏚 Заброшенный район
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления
🐍 Древняя змея🔸35 🍙 Тоннели
⚫️ Темная аномалия🔸35 ⛩ Оплот веры
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район"
"709","📜 Манускрипт синтеза","манускрипт синтеза","документ",NULL,NULL,"0","1","Зашифрованный рецепт синтеза алхимических элементов. 
","📋 Страница ресурса

📜 Манускрипт синтеза
Зашифрованный рецепт синтеза алхимических элементов. 
* Предмет нельзя передать

Дроп c монстров:
🦖 T.Rex🔸22 💦 Сквозь водопад
🗽 Большой двимеритовый страж🔸30 ⛏Двимеритовый рудник[🧲]
🕸🧟‍♂️ Древний зомби🔸31 🚧 🏺 Забытое хранилище"
